"STATISTIC","Statistic Label","TLIST(A1)","Year","C01912V02351","Type of Non Residential Building","C01921V02511","Type of Construction","UNIT","VALUE"
"BHA07C1","Planning Permissions Granted","2002","2002","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","Number","254"
"BHA07C1","Planning Permissions Granted","2002","2002","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","Number","21"
"BHA07C1","Planning Permissions Granted","2002","2002","202","Buildings for mining, energy and water","-","All types of construction","Number","95"
"BHA07C1","Planning Permissions Granted","2002","2002","202","Buildings for mining, energy and water","1","New construction","Number","83"
"BHA07C1","Planning Permissions Granted","2002","2002","202","Buildings for mining, energy and water","2","Extensions","Number","11"
"BHA07C1","Planning Permissions Granted","2002","2002","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","Number","1"
"BHA07C1","Planning Permissions Granted","2002","2002","203","Buildings for industry and manufacturing handicraft","-","All types of construction","Number","644"
"BHA07C1","Planning Permissions Granted","2002","2002","203","Buildings for industry and manufacturing handicraft","1","New construction","Number","314"
"BHA07C1","Planning Permissions Granted","2002","2002","203","Buildings for industry and manufacturing handicraft","2","Extensions","Number","249"
"BHA07C1","Planning Permissions Granted","2002","2002","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","Number","81"
"BHA07C1","Planning Permissions Granted","2002","2002","204","Hotels, restaurants and cafes","-","All types of construction","Number","763"
"BHA07C1","Planning Permissions Granted","2002","2002","204","Hotels, restaurants and cafes","1","New construction","Number","143"
"BHA07C1","Planning Permissions Granted","2002","2002","204","Hotels, restaurants and cafes","2","Extensions","Number","329"
"BHA07C1","Planning Permissions Granted","2002","2002","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","Number","291"
"BHA07C1","Planning Permissions Granted","2002","2002","205","Buildings for transport","-","All types of construction","Number","167"
"BHA07C1","Planning Permissions Granted","2002","2002","205","Buildings for transport","1","New construction","Number","94"
"BHA07C1","Planning Permissions Granted","2002","2002","205","Buildings for transport","2","Extensions","Number","49"
"BHA07C1","Planning Permissions Granted","2002","2002","205","Buildings for transport","3","Alteration, conversion and renovation","Number","24"
"BHA07C1","Planning Permissions Granted","2002","2002","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","Number","1874"
"BHA07C1","Planning Permissions Granted","2002","2002","206","Buildings for trade and administration buildings for other economic activities","1","New construction","Number","736"
"BHA07C1","Planning Permissions Granted","2002","2002","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","Number","483"
"BHA07C1","Planning Permissions Granted","2002","2002","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","Number","655"
"BHA07C1","Planning Permissions Granted","2002","2002","207","Public administration and public buildings for special purposes","-","All types of construction","Number","18"
"BHA07C1","Planning Permissions Granted","2002","2002","207","Public administration and public buildings for special purposes","1","New construction","Number","9"
"BHA07C1","Planning Permissions Granted","2002","2002","207","Public administration and public buildings for special purposes","2","Extensions","Number","4"
"BHA07C1","Planning Permissions Granted","2002","2002","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","Number","5"
"BHA07C1","Planning Permissions Granted","2002","2002","208","Buildings for health and welfare","-","All types of construction","Number","396"
"BHA07C1","Planning Permissions Granted","2002","2002","208","Buildings for health and welfare","1","New construction","Number","116"
"BHA07C1","Planning Permissions Granted","2002","2002","208","Buildings for health and welfare","2","Extensions","Number","169"
"BHA07C1","Planning Permissions Granted","2002","2002","208","Buildings for health and welfare","3","Alteration, conversion and renovation","Number","111"
"BHA07C1","Planning Permissions Granted","2002","2002","209","Buildings for entertainment and recreation","-","All types of construction","Number","497"
"BHA07C1","Planning Permissions Granted","2002","2002","209","Buildings for entertainment and recreation","1","New construction","Number","197"
"BHA07C1","Planning Permissions Granted","2002","2002","209","Buildings for entertainment and recreation","2","Extensions","Number","235"
"BHA07C1","Planning Permissions Granted","2002","2002","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","Number","65"
"BHA07C1","Planning Permissions Granted","2002","2002","210","Buildings for education, culture, science and research","-","All types of construction","Number","743"
"BHA07C1","Planning Permissions Granted","2002","2002","210","Buildings for education, culture, science and research","1","New construction","Number","55"
"BHA07C1","Planning Permissions Granted","2002","2002","210","Buildings for education, culture, science and research","2","Extensions","Number","608"
"BHA07C1","Planning Permissions Granted","2002","2002","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","Number","80"
"BHA07C1","Planning Permissions Granted","2002","2002","211","Buildings for religious and funerary","-","All types of construction","Number","85"
"BHA07C1","Planning Permissions Granted","2002","2002","211","Buildings for religious and funerary","1","New construction","Number","11"
"BHA07C1","Planning Permissions Granted","2002","2002","211","Buildings for religious and funerary","2","Extensions","Number","41"
"BHA07C1","Planning Permissions Granted","2002","2002","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","Number","33"
"BHA07C1","Planning Permissions Granted","2002","2002","212","Other non-residential buildings","-","All types of construction","Number","21"
"BHA07C1","Planning Permissions Granted","2002","2002","212","Other non-residential buildings","1","New construction","Number","14"
"BHA07C1","Planning Permissions Granted","2002","2002","212","Other non-residential buildings","2","Extensions","Number","1"
"BHA07C1","Planning Permissions Granted","2002","2002","212","Other non-residential buildings","3","Alteration, conversion and renovation","Number","6"
"BHA07C1","Planning Permissions Granted","2002","2002","213","Office development, buildings for financing and insurance","-","All types of construction","Number","877"
"BHA07C1","Planning Permissions Granted","2002","2002","213","Office development, buildings for financing and insurance","1","New construction","Number","288"
"BHA07C1","Planning Permissions Granted","2002","2002","213","Office development, buildings for financing and insurance","2","Extensions","Number","205"
"BHA07C1","Planning Permissions Granted","2002","2002","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","Number","384"
"BHA07C1","Planning Permissions Granted","2002","2002","214","Creche","-","All types of construction","Number","346"
"BHA07C1","Planning Permissions Granted","2002","2002","214","Creche","1","New construction","Number","184"
"BHA07C1","Planning Permissions Granted","2002","2002","214","Creche","2","Extensions","Number","37"
"BHA07C1","Planning Permissions Granted","2002","2002","214","Creche","3","Alteration, conversion and renovation","Number","125"
"BHA07C1","Planning Permissions Granted","2003","2003","200","All non residential buildings","-","All types of construction","Number","7256"
"BHA07C1","Planning Permissions Granted","2003","2003","200","All non residential buildings","1","New construction","Number","3451"
"BHA07C1","Planning Permissions Granted","2003","2003","200","All non residential buildings","2","Extensions","Number","2174"
"BHA07C1","Planning Permissions Granted","2003","2003","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1631"
"BHA07C1","Planning Permissions Granted","2003","2003","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","1147"
"BHA07C1","Planning Permissions Granted","2003","2003","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","Number","926"
"BHA07C1","Planning Permissions Granted","2003","2003","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","Number","196"
"BHA07C1","Planning Permissions Granted","2003","2003","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","Number","25"
"BHA07C1","Planning Permissions Granted","2003","2003","202","Buildings for mining, energy and water","-","All types of construction","Number","103"
"BHA07C1","Planning Permissions Granted","2003","2003","202","Buildings for mining, energy and water","1","New construction","Number","89"
"BHA07C1","Planning Permissions Granted","2003","2003","202","Buildings for mining, energy and water","2","Extensions","Number","9"
"BHA07C1","Planning Permissions Granted","2003","2003","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","Number","5"
"BHA07C1","Planning Permissions Granted","2003","2003","203","Buildings for industry and manufacturing handicraft","-","All types of construction","Number","649"
"BHA07C1","Planning Permissions Granted","2003","2003","203","Buildings for industry and manufacturing handicraft","1","New construction","Number","349"
"BHA07C1","Planning Permissions Granted","2003","2003","203","Buildings for industry and manufacturing handicraft","2","Extensions","Number","224"
"BHA07C1","Planning Permissions Granted","2003","2003","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","Number","76"
"BHA07C1","Planning Permissions Granted","2003","2003","204","Hotels, restaurants and cafes","-","All types of construction","Number","843"
"BHA07C1","Planning Permissions Granted","2003","2003","204","Hotels, restaurants and cafes","1","New construction","Number","209"
"BHA07C1","Planning Permissions Granted","2003","2003","204","Hotels, restaurants and cafes","2","Extensions","Number","337"
"BHA07C1","Planning Permissions Granted","2003","2003","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","Number","297"
"BHA07C1","Planning Permissions Granted","2003","2003","205","Buildings for transport","-","All types of construction","Number","220"
"BHA07C1","Planning Permissions Granted","2003","2003","205","Buildings for transport","1","New construction","Number","155"
"BHA07C1","Planning Permissions Granted","2003","2003","205","Buildings for transport","2","Extensions","Number","45"
"BHA07C1","Planning Permissions Granted","2003","2003","205","Buildings for transport","3","Alteration, conversion and renovation","Number","20"
"BHA07C1","Planning Permissions Granted","2003","2003","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","Number","1693"
"BHA07C1","Planning Permissions Granted","2003","2003","206","Buildings for trade and administration buildings for other economic activities","1","New construction","Number","738"
"BHA07C1","Planning Permissions Granted","2003","2003","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","Number","420"
"BHA07C1","Planning Permissions Granted","2003","2003","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","Number","535"
"BHA07C1","Planning Permissions Granted","2003","2003","207","Public administration and public buildings for special purposes","-","All types of construction","Number","16"
"BHA07C1","Planning Permissions Granted","2003","2003","207","Public administration and public buildings for special purposes","1","New construction","Number","7"
"BHA07C1","Planning Permissions Granted","2003","2003","207","Public administration and public buildings for special purposes","2","Extensions","Number","2"
"BHA07C1","Planning Permissions Granted","2003","2003","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","Number","7"
"BHA07C1","Planning Permissions Granted","2003","2003","208","Buildings for health and welfare","-","All types of construction","Number","367"
"BHA07C1","Planning Permissions Granted","2003","2003","208","Buildings for health and welfare","1","New construction","Number","105"
"BHA07C1","Planning Permissions Granted","2003","2003","208","Buildings for health and welfare","2","Extensions","Number","141"
"BHA07C1","Planning Permissions Granted","2003","2003","208","Buildings for health and welfare","3","Alteration, conversion and renovation","Number","121"
"BHA07C1","Planning Permissions Granted","2003","2003","209","Buildings for entertainment and recreation","-","All types of construction","Number","525"
"BHA07C1","Planning Permissions Granted","2003","2003","209","Buildings for entertainment and recreation","1","New construction","Number","279"
"BHA07C1","Planning Permissions Granted","2003","2003","209","Buildings for entertainment and recreation","2","Extensions","Number","166"
"BHA07C1","Planning Permissions Granted","2003","2003","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","Number","80"
"BHA07C1","Planning Permissions Granted","2003","2003","210","Buildings for education, culture, science and research","-","All types of construction","Number","513"
"BHA07C1","Planning Permissions Granted","2003","2003","210","Buildings for education, culture, science and research","1","New construction","Number","52"
"BHA07C1","Planning Permissions Granted","2003","2003","210","Buildings for education, culture, science and research","2","Extensions","Number","416"
"BHA07C1","Planning Permissions Granted","2003","2003","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","Number","45"
"BHA07C1","Planning Permissions Granted","2003","2003","211","Buildings for religious and funerary","-","All types of construction","Number","83"
"BHA07C1","Planning Permissions Granted","2003","2003","211","Buildings for religious and funerary","1","New construction","Number","21"
"BHA07C1","Planning Permissions Granted","2003","2003","211","Buildings for religious and funerary","2","Extensions","Number","25"
"BHA07C1","Planning Permissions Granted","2003","2003","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","Number","37"
"BHA07C1","Planning Permissions Granted","2003","2003","212","Other non-residential buildings","-","All types of construction","Number","13"
"BHA07C1","Planning Permissions Granted","2003","2003","212","Other non-residential buildings","1","New construction","Number","9"
"BHA07C1","Planning Permissions Granted","2003","2003","212","Other non-residential buildings","2","Extensions","Number","3"
"BHA07C1","Planning Permissions Granted","2003","2003","212","Other non-residential buildings","3","Alteration, conversion and renovation","Number","1"
"BHA07C1","Planning Permissions Granted","2003","2003","213","Office development, buildings for financing and insurance","-","All types of construction","Number","720"
"BHA07C1","Planning Permissions Granted","2003","2003","213","Office development, buildings for financing and insurance","1","New construction","Number","306"
"BHA07C1","Planning Permissions Granted","2003","2003","213","Office development, buildings for financing and insurance","2","Extensions","Number","150"
"BHA07C1","Planning Permissions Granted","2003","2003","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","Number","264"
"BHA07C1","Planning Permissions Granted","2003","2003","214","Creche","-","All types of construction","Number","364"
"BHA07C1","Planning Permissions Granted","2003","2003","214","Creche","1","New construction","Number","206"
"BHA07C1","Planning Permissions Granted","2003","2003","214","Creche","2","Extensions","Number","40"
"BHA07C1","Planning Permissions Granted","2003","2003","214","Creche","3","Alteration, conversion and renovation","Number","118"
"BHA07C1","Planning Permissions Granted","2004","2004","200","All non residential buildings","-","All types of construction","Number","7802"
"BHA07C1","Planning Permissions Granted","2004","2004","200","All non residential buildings","1","New construction","Number","3896"
"BHA07C1","Planning Permissions Granted","2004","2004","200","All non residential buildings","2","Extensions","Number","2258"
"BHA07C1","Planning Permissions Granted","2004","2004","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1648"
"BHA07C1","Planning Permissions Granted","2004","2004","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","1383"
"BHA07C1","Planning Permissions Granted","2004","2004","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","1","New construction","Number","1106"
"BHA07C1","Planning Permissions Granted","2004","2004","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","2","Extensions","Number","243"
"BHA07C1","Planning Permissions Granted","2004","2004","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","3","Alteration, conversion and renovation","Number","34"
"BHA07C1","Planning Permissions Granted","2004","2004","202","Buildings for mining, energy and water","-","All types of construction","Number","131"
"BHA07C1","Planning Permissions Granted","2004","2004","202","Buildings for mining, energy and water","1","New construction","Number","116"
"BHA07C1","Planning Permissions Granted","2004","2004","202","Buildings for mining, energy and water","2","Extensions","Number","14"
"BHA07C1","Planning Permissions Granted","2004","2004","202","Buildings for mining, energy and water","3","Alteration, conversion and renovation","Number","1"
"BHA07C1","Planning Permissions Granted","2004","2004","203","Buildings for industry and manufacturing handicraft","-","All types of construction","Number","621"
"BHA07C1","Planning Permissions Granted","2004","2004","203","Buildings for industry and manufacturing handicraft","1","New construction","Number","323"
"BHA07C1","Planning Permissions Granted","2004","2004","203","Buildings for industry and manufacturing handicraft","2","Extensions","Number","225"
"BHA07C1","Planning Permissions Granted","2004","2004","203","Buildings for industry and manufacturing handicraft","3","Alteration, conversion and renovation","Number","73"
"BHA07C1","Planning Permissions Granted","2004","2004","204","Hotels, restaurants and cafes","-","All types of construction","Number","860"
"BHA07C1","Planning Permissions Granted","2004","2004","204","Hotels, restaurants and cafes","1","New construction","Number","199"
"BHA07C1","Planning Permissions Granted","2004","2004","204","Hotels, restaurants and cafes","2","Extensions","Number","356"
"BHA07C1","Planning Permissions Granted","2004","2004","204","Hotels, restaurants and cafes","3","Alteration, conversion and renovation","Number","305"
"BHA07C1","Planning Permissions Granted","2004","2004","205","Buildings for transport","-","All types of construction","Number","283"
"BHA07C1","Planning Permissions Granted","2004","2004","205","Buildings for transport","1","New construction","Number","200"
"BHA07C1","Planning Permissions Granted","2004","2004","205","Buildings for transport","2","Extensions","Number","66"
"BHA07C1","Planning Permissions Granted","2004","2004","205","Buildings for transport","3","Alteration, conversion and renovation","Number","17"
"BHA07C1","Planning Permissions Granted","2004","2004","206","Buildings for trade and administration buildings for other economic activities","-","All types of construction","Number","1964"
"BHA07C1","Planning Permissions Granted","2004","2004","206","Buildings for trade and administration buildings for other economic activities","1","New construction","Number","906"
"BHA07C1","Planning Permissions Granted","2004","2004","206","Buildings for trade and administration buildings for other economic activities","2","Extensions","Number","481"
"BHA07C1","Planning Permissions Granted","2004","2004","206","Buildings for trade and administration buildings for other economic activities","3","Alteration, conversion and renovation","Number","577"
"BHA07C1","Planning Permissions Granted","2004","2004","207","Public administration and public buildings for special purposes","-","All types of construction","Number","25"
"BHA07C1","Planning Permissions Granted","2004","2004","207","Public administration and public buildings for special purposes","1","New construction","Number","14"
"BHA07C1","Planning Permissions Granted","2004","2004","207","Public administration and public buildings for special purposes","2","Extensions","Number","5"
"BHA07C1","Planning Permissions Granted","2004","2004","207","Public administration and public buildings for special purposes","3","Alteration, conversion and renovation","Number","6"
"BHA07C1","Planning Permissions Granted","2004","2004","208","Buildings for health and welfare","-","All types of construction","Number","400"
"BHA07C1","Planning Permissions Granted","2004","2004","208","Buildings for health and welfare","1","New construction","Number","110"
"BHA07C1","Planning Permissions Granted","2004","2004","208","Buildings for health and welfare","2","Extensions","Number","174"
"BHA07C1","Planning Permissions Granted","2004","2004","208","Buildings for health and welfare","3","Alteration, conversion and renovation","Number","116"
"BHA07C1","Planning Permissions Granted","2004","2004","209","Buildings for entertainment and recreation","-","All types of construction","Number","459"
"BHA07C1","Planning Permissions Granted","2004","2004","209","Buildings for entertainment and recreation","1","New construction","Number","238"
"BHA07C1","Planning Permissions Granted","2004","2004","209","Buildings for entertainment and recreation","2","Extensions","Number","161"
"BHA07C1","Planning Permissions Granted","2004","2004","209","Buildings for entertainment and recreation","3","Alteration, conversion and renovation","Number","60"
"BHA07C1","Planning Permissions Granted","2004","2004","210","Buildings for education, culture, science and research","-","All types of construction","Number","441"
"BHA07C1","Planning Permissions Granted","2004","2004","210","Buildings for education, culture, science and research","1","New construction","Number","47"
"BHA07C1","Planning Permissions Granted","2004","2004","210","Buildings for education, culture, science and research","2","Extensions","Number","326"
"BHA07C1","Planning Permissions Granted","2004","2004","210","Buildings for education, culture, science and research","3","Alteration, conversion and renovation","Number","68"
"BHA07C1","Planning Permissions Granted","2004","2004","211","Buildings for religious and funerary","-","All types of construction","Number","64"
"BHA07C1","Planning Permissions Granted","2004","2004","211","Buildings for religious and funerary","1","New construction","Number","13"
"BHA07C1","Planning Permissions Granted","2004","2004","211","Buildings for religious and funerary","2","Extensions","Number","24"
"BHA07C1","Planning Permissions Granted","2004","2004","211","Buildings for religious and funerary","3","Alteration, conversion and renovation","Number","27"
"BHA07C1","Planning Permissions Granted","2004","2004","212","Other non-residential buildings","-","All types of construction","Number","15"
"BHA07C1","Planning Permissions Granted","2004","2004","212","Other non-residential buildings","1","New construction","Number","12"
"BHA07C1","Planning Permissions Granted","2004","2004","212","Other non-residential buildings","2","Extensions","Number","2"
"BHA07C1","Planning Permissions Granted","2004","2004","212","Other non-residential buildings","3","Alteration, conversion and renovation","Number","1"
"BHA07C1","Planning Permissions Granted","2004","2004","213","Office development, buildings for financing and insurance","-","All types of construction","Number","722"
"BHA07C1","Planning Permissions Granted","2004","2004","213","Office development, buildings for financing and insurance","1","New construction","Number","327"
"BHA07C1","Planning Permissions Granted","2004","2004","213","Office development, buildings for financing and insurance","2","Extensions","Number","135"
"BHA07C1","Planning Permissions Granted","2004","2004","213","Office development, buildings for financing and insurance","3","Alteration, conversion and renovation","Number","260"
"BHA07C1","Planning Permissions Granted","2004","2004","214","Creche","-","All types of construction","Number","434"
"BHA07C1","Planning Permissions Granted","2004","2004","214","Creche","1","New construction","Number","285"
"BHA07C1","Planning Permissions Granted","2004","2004","214","Creche","2","Extensions","Number","46"
"BHA07C1","Planning Permissions Granted","2004","2004","214","Creche","3","Alteration, conversion and renovation","Number","103"
"BHA07C1","Planning Permissions Granted","2005","2005","200","All non residential buildings","-","All types of construction","Number","8913"
"BHA07C1","Planning Permissions Granted","2005","2005","200","All non residential buildings","1","New construction","Number","4682"
"BHA07C1","Planning Permissions Granted","2005","2005","200","All non residential buildings","2","Extensions","Number","2426"
"BHA07C1","Planning Permissions Granted","2005","2005","200","All non residential buildings","3","Alteration, conversion and renovation","Number","1805"
"BHA07C1","Planning Permissions Granted","2005","2005","201","Buildings for agriculture, forestry, horticulture, fruit-growing, viniculture and fishery purposes","-","All types of construction","Number","1628"
